date,number_of_files
2025-05-02,17484
2025-05-05,20072
2025-05-12,20646
2025-05-19,21492
2025-05-26,53627
2025-06-02,92011
2025-06-09,124164
2025-06-16,125306
2025-06-30,125463
2025-07-07,125718
2025-07-14,125948
2025-07-21,125977
2025-07-28,126433
2025-08-04,127084
2025-08-11,127149
2025-08-18,127289
2025-08-25,127453
2025-09-01,127573
2025-09-08,127711
2025-09-15,127840
2025-09-22,127840
2025-09-29,128294
2025-10-06,128516
2025-10-13,128999
2025-10-27,129145
2025-11-03,129346
2025-11-10,129405
2025-11-17,129505
2025-11-24,129594
2025-12-01,129750
2025-12-08,129961
2025-12-15,129997
2025-12-22,130050
2025-12-29,130132
2026-01-05,130132
2026-01-12,130451
2026-01-19,131056
2026-01-26,131274
2026-02-02,131306
